Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
SBL Calcarea Phosphorica Biochemic Tablet 6X,25 gm,₹110,₹104,https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-6x-otc331091
SBL Stobal Cough Syrup,500 ml,₹300,₹280,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc857676
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
Dr. Reckeweg R59 Weight Loss,22 ml,NA,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r59-weight-loss-otc326007
Bakson's Homeopathy Pilgo Tablet,75 tablets,₹215,₹145,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc327078
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
SBL Dibonil Drop,30 ml,₹135,₹128,https://www.1mg.com/otc/sbl-dibonil-drop-otc327094
SBL Liv T Tonic,180 ml,₹170,₹161,https://www.1mg.com/otc/sbl-liv-t-tonic-otc328967
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
Dr. Reckeweg R84 Inhalent Allergy Drop,30 ml,₹330,₹274,https://www.1mg.com/otc/dr.-reckeweg-r84-inhalent-allergy-drop-otc326011
SBL Bryonia Alba Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-30-ch-otc346050
Dr Willmar Schwabe India Alpha-Coff Cough Syrup,100 ml,₹115,₹106,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-coff-cough-syrup-otc407060
SBL Rhus Toxicodendron Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-200-ch-otc338182
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,20 gm,₹200,₹157,https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909
