Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Dr. Reckeweg R17 Glandular Enlargement Drop,22 ml,₹285,₹225,https://www.1mg.com/otc/dr.-reckeweg-r17-glandular-enlargement-drop-otc327479
Dr Willmar Schwabe India Ruck-Pain,30 ml,₹195,₹161,https://www.1mg.com/otc/dr-willmar-schwabe-india-ruck-pain-otc784648
SBL Drops No. 3 (For UTI),30 ml,₹185,₹132,https://www.1mg.com/otc/sbl-drops-no.-3-for-uti-otc329039
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,30 ml,₹515,₹469,https://www.1mg.com/otc/dr-willmar-schwabe-india-hydrastis-canadensis-mother-tincture-q-otc391074
Dr Willmar Schwabe India Alpha - MP Drop,30 ml,₹125,₹112,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-mp-drop-otc326047
Bakson's Homeopathy Calci Aid Tablet,200 tablets,₹500,₹376,https://www.1mg.com/otc/bakson-s-homeopathy-calci-aid-tablet-otc502732
Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,30 ml,₹220,₹178,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-mother-tincture-q-otc390782
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Natrum Muriaticum Biochemic Tablet 6X,25 gm,₹110,₹97,https://www.1mg.com/otc/sbl-natrum-muriaticum-biochemic-tablet-6x-otc330938
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Dr. Reckeweg R89 Hair Care Drop (30ml Each),NA,₹620,₹558,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-30ml-each-otc870813
Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,22 ml,₹285,₹215,https://www.1mg.com/otc/dr.-reckeweg-r53-acne-vulgaris-and-pimples-drop-otc326016
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Wheezal Mixture Syrup,450 ml,₹270,₹231,https://www.1mg.com/otc/wheezal-mixture-syrup-otc715775
SBL Kali Muriaticum Biochemic Tablet 6X,25 gm,₹110,₹107,https://www.1mg.com/otc/sbl-kali-muriaticum-biochemic-tablet-6x-otc331049
SBL Calcarea Fluorica Biochemic Tablet 12X,25 gm,₹110,₹99,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-12x-otc331088
Dr Willmar Schwabe Germany Damiaplant Drop,20 ml,₹575,₹546,https://www.1mg.com/otc/dr-willmar-schwabe-germany-damiaplant-drop-otc325893
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
SBL Hypericum Perforatum Dilution 200 CH,30 ml,₹115,₹98,https://www.1mg.com/otc/sbl-hypericum-perforatum-dilution-200-ch-otc347950
SBL Natrum Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹103,https://www.1mg.com/otc/sbl-natrum-phosphoricum-biochemic-tablet-6x-otc330946
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
ADEL 3 Apo-Hepat Drop,20 ml,₹310,₹230,https://www.1mg.com/otc/adel-3-apo-hepat-drop-otc326120
Dr. Reckeweg Bryonia Alba Dilution 200 CH,11 ml,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-200-ch-otc335840
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
ADEL 6 Apo-Strum Drop,20 ml,₹310,₹224,https://www.1mg.com/otc/adel-6-apo-strum-drop-otc326117
SBL Mercurius Solubilis Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-30-ch-otc338313
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
Dr Willmar Schwabe India Topi Thuja Cream,25 gm,₹80,₹61,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-thuja-cream-otc327365
Dr Willmar Schwabe India Munostim Globules,10 gm,₹125,₹123,https://www.1mg.com/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
SBL Apis Mellifica Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-apis-mellifica-dilution-30-ch-otc338377
Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,25 gm,₹80,₹58,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-berberis-aquifolium-cream-otc326145
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
SBL Histaminum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-histaminum-dilution-30-ch-otc348943
ADEL 7 Apo-Tuss Drop,20 ml,₹295,₹206,https://www.1mg.com/otc/adel-7-apo-tuss-drop-otc327176
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Dr. Reckeweg Caladium Seg Dilution 1000 CH,11 ml,₹210,₹206,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-1000-ch-otc335831
Dr. Reckeweg Aconitum Napellus Dilution 200 CH,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-200-ch-otc335450
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL Petroleum Cream,25 gm,₹75,₹67,https://www.1mg.com/otc/sbl-petroleum-cream-otc331003
Bakson's Homeopathy AC#9 Tablet,75 tablets,₹215,₹159,https://www.1mg.com/otc/bakson-s-homeopathy-ac-9-tablet-otc502622
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
SBL Ocimum Sanctum Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-ocimum-sanctum-mother-tincture-q-otc338436
ADEL 25 Somcupin Drop,20 ml,₹310,₹229,https://www.1mg.com/otc/adel-25-somcupin-drop-otc326095
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
Dr. Reckeweg Wiesbaden Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-wiesbaden-dilution-30-ch-otc326318
SBL Drops No. 7 (For Sinusitis),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-7-for-sinusitis-otc329040
SBL Drops No. 5 (For Cervical Pain),30 ml,₹185,₹165,https://www.1mg.com/otc/sbl-drops-no.-5-for-cervical-pain-otc329043
SBL Natrum Muriaticum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-natrum-muriaticum-dilution-30-ch-otc338310
SBL Aesculus Ointment,25 gm,₹80,₹77.6,https://www.1mg.com/otc/sbl-aesculus-ointment-otc330972
SBL Aconitum Napellus Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-200-ch-otc345697
Dr Willmar Schwabe India Sabal Pentarkan Drop,30 ml,₹190,₹177,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-pentarkan-drop-otc327652
SBL Sleeptite Tablet,25 gm,₹165,₹162,https://www.1mg.com/otc/sbl-sleeptite-tablet-otc329013
SBL Agnus Castus Dilution 30 CH,30 ml,₹100,₹95,https://www.1mg.com/otc/sbl-agnus-castus-dilution-30-ch-otc345716
Dr. Reckeweg R64 Albuminuria Drop,22 ml,₹285,₹242,https://www.1mg.com/otc/dr.-reckeweg-r64-albuminuria-drop-otc327393
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,NA,₹105,₹94,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695224
Dr. Reckeweg Baryta Carb Dilution 30 CH,11 ml,₹145,₹132,https://www.1mg.com/otc/dr.-reckeweg-baryta-carb-dilution-30-ch-otc328889
SBL Calcarea Carbonica Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-200-ch-otc346039
Dr. Reckeweg Belladonna Dilution 200 CH,11 ml,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-200-ch-otc335881
Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,30 ml,₹170,₹156,https://www.1mg.com/otc/allen-a70-i.b.s.-irritable-bowel-syndrome-drop-otc330218
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Arnica Montana Herbal Shampoo with TJC,100 ml,₹110,₹87,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329024
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Boericke and Tafel Anti-Dandruff Shampoo,150 ml,₹145,₹138,https://www.1mg.com/otc/boericke-and-tafel-anti-dandruff-shampoo-otc388285
Dr Willmar Schwabe India Jaborandi Mother Tincture Q,30 ml,₹150,₹130,https://www.1mg.com/otc/dr-willmar-schwabe-india-jaborandi-mother-tincture-q-otc391105
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
SBL Histaminum Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-histaminum-dilution-200-ch-otc348944
Dr. Reckeweg Yohimbinum Mother Tincture Q,20 ml,₹390,₹340,https://www.1mg.com/otc/dr.-reckeweg-yohimbinum-mother-tincture-q-otc327117
SBL Sulphur Ointment,25 gm,₹75,₹69.8,https://www.1mg.com/otc/sbl-sulphur-ointment-otc331007
Dr. Reckeweg Carduus Mar Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-carduus-mar-mother-tincture-q-otc327435
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,20 gm,₹175,₹169,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-tablet-1x-otc327283
Dr. Reckeweg Arsenicum Album 200 CH Dilution,11 ml,₹170,₹143,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-200-ch-dilution-otc328907
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Chionanthus Virginica Mother Tincture Q,30 ml,₹365,₹274,https://www.1mg.com/otc/sbl-chionanthus-virginica-mother-tincture-q-otc338499
Bakson B22 Sinus Drop,30 ml,₹185,₹155,https://www.1mg.com/otc/bakson-b22-sinus-drop-otc388057
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
Dr. Reckeweg R19 Glandular Drops for Men,22 ml,₹285,₹265,https://www.1mg.com/otc/dr.-reckeweg-r19-glandular-drops-for-men-otc327102
SBL Hydrangea Arborescens Mother Tincture Q,30 ml,₹150,₹112,https://www.1mg.com/otc/sbl-hydrangea-arborescens-mother-tincture-q-otc338476
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
Dr. Reckeweg R72 Pancreas Drop,22 ml,₹285,₹225,https://www.1mg.com/otc/dr.-reckeweg-r72-pancreas-drop-otc327370
SBL AT-Tabs Ant- Traumatic Tablet,25 gm,₹165,₹157,https://www.1mg.com/otc/sbl-at-tabs-ant-traumatic-tablet-otc328994
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
Bjain Terminalia Arjuna Mother Tincture Q,100 ml,₹195,₹119,https://www.1mg.com/otc/bjain-terminalia-arjuna-mother-tincture-q-otc445317
SBL Stobal Cough Syrup Sugar Free,180 ml,₹185,₹176,https://www.1mg.com/otc/sbl-stobal-cough-syrup-sugar-free-otc473006
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
Wheezal Jaborandi Hair Treatment Oil,200 ml,₹255,₹184,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536941
Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,250 ml,₹740,₹673,https://www.1mg.com/otc/dr.-reckeweg-vita-c-15-sedative-nerve-tonic-otc325996
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Wheezal Jaborandi Hair Treatment Oil,500 ml,₹425,₹331,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536942
SBL Silicea Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-silicea-dilution-30-ch-otc338178
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL Sulphur Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-sulphur-dilution-30-ch-otc338174
SBL Andrographis Paniculata Mother Tincture Q,30 ml,₹105,₹85,https://www.1mg.com/otc/sbl-andrographis-paniculata-mother-tincture-q-otc338522
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
Dr. Reckeweg R57 Pulmonary Tonic,22 ml,₹285,₹219,https://www.1mg.com/otc/dr.-reckeweg-r57-pulmonary-tonic-otc327411
Dr. Reckeweg China Dilution 30 CH,11 ml,₹145,₹109,https://www.1mg.com/otc/dr.-reckeweg-china-dilution-30-ch-otc326837
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
Bakson's Homeopathy Homoeopathic Formula P Tablet,200 tablets,₹500,₹374,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-p-tablet-otc502902
SBL Scalptone Tablet,450 gm,₹865,₹604,https://www.1mg.com/otc/sbl-scalptone-tablet-otc812932
Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,30 ml,₹105,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-30-ch-otc394792
SBL Silicea Biochemic Tablet 6X,25 gm,₹110,₹104,https://www.1mg.com/otc/sbl-silicea-biochemic-tablet-6x-otc368309
SBL Swertia Chirata Mother Tincture Q,30 ml,₹150,₹127,https://www.1mg.com/otc/sbl-swertia-chirata-mother-tincture-q-otc338416
SBL Fraxinus Americana Mother Tincture Q,30 ml,₹330,₹280,https://www.1mg.com/otc/sbl-fraxinus-americana-mother-tincture-q-otc338485
ADEL 64 Mundipur Uric Acid Drop,20 ml,NA,MRP₹310,https://www.1mg.com/otc/adel-64-mundipur-uric-acid-drop-otc662025
ADEL 21 Proscenat Drop,20 ml,₹295,₹281,https://www.1mg.com/otc/adel-21-proscenat-drop-otc326098
SBL Tonicard Gold Drop Homeopathic Medicine,30 ml,₹205,₹199,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329005
Dr. Reckeweg Crataegus Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-crataegus-mother-tincture-q-otc327757
Dr Willmar Schwabe India Aesculus Pentarkan Drop,30 ml,₹190,₹167,https://www.1mg.com/otc/dr-willmar-schwabe-india-aesculus-pentarkan-drop-otc327655
SBL Ipecacuanha Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-ipecacuanha-dilution-30-ch-otc338318
SBL Gelsemium Sempervirens Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-30-ch-otc338332
ADEL 83 Bronchi-Pertu Syrup,150 ml,₹520,₹504,https://www.1mg.com/otc/adel-83-bronchi-pertu-syrup-otc326054
Dr Willmar Schwabe India Bacopa Monnieri Brahmi Mother Tincture Q,30 ml,₹125,₹110,https://www.1mg.com/otc/dr-willmar-schwabe-india-bacopa-monnieri-brahmi-mother-tincture-q-otc390812
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Ruta Graveolens Dilution 30 CH,30 ml,₹100,₹94.5,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-30-ch-otc338301
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
SBL Alfalfa Mother Tincture Q,30 ml,₹105,₹96,https://www.1mg.com/otc/sbl-alfalfa-mother-tincture-q-otc338527
SBL Withania Somnifera Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-withania-somnifera-mother-tincture-q-otc338405
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
SBL Thiosinaminum Trituration Tablet 3X,25 gm,₹175,₹160,https://www.1mg.com/otc/sbl-thiosinaminum-trituration-tablet-3x-otc338959
SBL Sepia Dilution 200 CH,30 ml,₹115,₹107,https://www.1mg.com/otc/sbl-sepia-dilution-200-ch-otc348706
Dr. Reckeweg Arnica Mont Dilution 30 CH,11 ml,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-30-ch-otc326893
SBL Alfalfa Tonic with Ginseng,115 ml,₹130,₹125,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328975
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Dr. Reckeweg Thyroidinum Trituration Tablet 3X,20 gm,₹255,₹240,https://www.1mg.com/otc/dr.-reckeweg-thyroidinum-trituration-tablet-3x-otc326928
SBL Tonsilat Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-tonsilat-tablet-otc329027
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Bio-Combination 28 Tablet,25 gm,₹110,₹101,https://www.1mg.com/otc/sbl-bio-combination-28-tablet-otc331081
Dr. Reckeweg R70 Neuralgia Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r70-neuralgia-drop-otc326000
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
Dr. Reckeweg Ginseng Mother Tincture Q,20 ml,₹315,₹306,https://www.1mg.com/otc/dr.-reckeweg-ginseng-mother-tincture-q-otc327739
ADEL 5 Apo-Stom Drop,20 ml,₹310,₹236,https://www.1mg.com/otc/adel-5-apo-stom-drop-otc326118
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
SBL Blatta Orientalis Mother Tincture Q,30 ml,₹150,₹142,https://www.1mg.com/otc/sbl-blatta-orientalis-mother-tincture-q-otc338511
Dr. Reckeweg Silicea Dilution 30 CH,11 ml,₹145,₹133,https://www.1mg.com/otc/dr.-reckeweg-silicea-dilution-30-ch-otc326436
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
Dr Willmar Schwabe India Zauber Hair Drop,30 ml,₹195,₹170,https://www.1mg.com/otc/dr-willmar-schwabe-india-zauber-hair-drop-otc784654
Medisynth Wartex Forte Drop,30 ml,₹175,₹154,https://www.1mg.com/otc/medisynth-wartex-forte-drop-otc339293
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
SBL Abroma Augusta Mother Tincture Q,30 ml,₹105,₹68,https://www.1mg.com/otc/sbl-abroma-augusta-mother-tincture-q-otc338537
SBL Cantharis Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-cantharis-dilution-30-ch-otc338356
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Hapdco Mensol Tonic,450 ml,₹310,₹300,https://www.1mg.com/otc/hapdco-mensol-tonic-otc386135
SBL Kalmegh Syrup,115 ml,₹115,₹100,https://www.1mg.com/otc/sbl-kalmegh-syrup-otc331014
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
Adven Sinus-Gold Drop,30 ml,₹175,₹150,https://www.1mg.com/otc/adven-sinus-gold-drop-otc328954
Dr. S.C.Deb's Rheumalin Forte Tablet with Calcium Supplement Tablet,30 gm,₹190,₹186,https://www.1mg.com/otc/dr.-s.c.deb-s-rheumalin-forte-tablet-with-calcium-supplement-tablet-otc797245
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
SBL Gelsemium Sempervirens Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-200-ch-otc346631
SBL Five Phos A+ Nerve Tonic,115 ml,₹130,₹121,https://www.1mg.com/otc/sbl-five-phos-a-nerve-tonic-otc396895
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
Medisynth Jondila Forte Syrup,450 ml,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Thyroidinum Trituration Tablet 6X,25 gm,₹175,₹165,https://www.1mg.com/otc/sbl-thyroidinum-trituration-tablet-6x-otc338955
SBL Aesculus Hippocastanum Dilution 30 CH,30 ml,₹100,₹96,https://www.1mg.com/otc/sbl-aesculus-hippocastanum-dilution-30-ch-otc345707
Dr Willmar Schwabe India Damiana Mother Tincture Q,30 ml,₹150,₹135,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiana-mother-tincture-q-otc390932
SBL Caladium Seguinum Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-200-ch-otc346066
Dr. Reckeweg Bio-Combination 28 (BC 28) Tablet,20 gm,₹200,₹170,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-28-bc-28-tablet-otc326253
ADEL 29 Akutur Drop,20 ml,₹295,₹286,https://www.1mg.com/otc/adel-29-akutur-drop-otc326091
SBL Arnica Ointment,25 gm,₹75,₹66,https://www.1mg.com/otc/sbl-arnica-ointment-otc330983
SBL Robinia Pseudacacia Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-robinia-pseudacacia-dilution-30-ch-otc348603
Dr. Reckeweg Damiana Mother Tincture Q,20 ml,₹270,₹216,https://www.1mg.com/otc/dr.-reckeweg-damiana-mother-tincture-q-otc327754
SBL Allium Sativum Mother Tincture Q,30 ml,₹105,₹96,https://www.1mg.com/otc/sbl-allium-sativum-mother-tincture-q-otc338524
SBL Cantharis Mother Tincture Q,30 ml,₹330,₹300,https://www.1mg.com/otc/sbl-cantharis-mother-tincture-q-otc338508
Dr. Reckeweg R88 Anti Viral Drop,30 ml,₹330,₹313,https://www.1mg.com/otc/dr.-reckeweg-r88-anti-viral-drop-otc326061
Medisynth Gasgan Forte Drop,30 ml,₹175,₹159,https://www.1mg.com/otc/medisynth-gasgan-forte-drop-otc339287
Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,200 tablets,₹500,₹378,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc502827
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
Allen A15 Indigestion Gas & Acidity Drop,30 ml,₹170,₹158,https://www.1mg.com/otc/allen-a15-indigestion-gas-acidity-drop-otc330266
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
SBL Spongia Tosta Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-spongia-tosta-dilution-30-ch-otc338223
SBL Calcarea Carbonica Dilution 30 CH,30 ml,₹100,₹92.5,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-30-ch-otc338361
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Bjain Berberis Vulgaris Mother Tincture Q,100 ml,₹195,₹129,https://www.1mg.com/otc/bjain-berberis-vulgaris-mother-tincture-q-otc444655
Bakson's Homeopathy Rheum Aid Tablet,75 tablets,₹215,₹182,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc402192
ADEL 51 Psy-Stabil Drop,20 ml,₹310,₹265,https://www.1mg.com/otc/adel-51-psy-stabil-drop-otc327724
SBL Thuja Occidentalis Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-30-ch-otc338171
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Dr. Reckeweg Bacopa Monnieri (Brahmi) Mother Tincture Q,20 ml,₹270,₹230,https://www.1mg.com/otc/dr.-reckeweg-bacopa-monnieri-brahmi-mother-tincture-q-otc327794
ADEL 11 Defaeton Drop,20 ml,₹295,₹269,https://www.1mg.com/otc/adel-11-defaeton-drop-otc326112
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Justicia Adhatoda Dilution 30 CH,30 ml,₹100,₹92.5,https://www.1mg.com/otc/sbl-justicia-adhatoda-dilution-30-ch-otc348017
SBL Carica Papaya Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-carica-papaya-mother-tincture-q-otc338506
